X-Loc(m)	Y-Loc(m)	time(min)	Field Strength(nT)	Base Station(nT)
-120.0	-150.0	109.0	51337.1		51336.6
-110.0	-150.0	109.5	51352.4		51336.9
-100.0	-150.0	110.0	51352.2		51337.0
-90.0	-150.0	110.5	51334.5		51338.3
-80.0	-150.0	111.0	51332.9		51336.2
-70.0	-150.0	111.5	51333.5		51336.2
-60.0	-150.0	112.0	51338.1		51337.1
-50.0	-150.0	112.5	51337.8		51337.8
-40.0	-150.0	113.0	51334.5		51335.4
-30.0	-150.0	113.5	51332.2		51335.4
-20.0	-150.0	114.0	51334.6		51335.2
-10.0	-150.0	114.5	51336.2		51336.7
0.0	-150.0	115.0	51334.5		51336.3
10.0	-150.0	115.5	51334.5		51335.2
20.0	-150.0	116.0	51335.8		51336.1
30.0	-150.0	116.5	51335.6		51335.7
40.0	-150.0	117.0	51333.5		51333.1
50.0	-150.0	117.5	51333.0		51333.8
60.0	-150.0	118.0	51334.1		51333.8
70.0	-150.0	118.5	51334.2		51334.2
80.0	-150.0	119.0	51335.0		51333.9
90.0	-150.0	119.5	51334.7		51333.4
100.0	-150.0	120.0	51333.2		51334.0
110.0	-150.0	120.5	51334.8		51335.5
120.0	-150.0	121.0	51334.6		51334.1
130.0	-150.0	121.5	51332.2		51333.6
140.0	-150.0	122.0	51332.4		51331.4
150.0	-150.0	122.5	51333.7		51334.2
160.0	-150.0	123.0	51331.2		51333.4
170.0	-150.0	123.5	51333.5		51331.9
180.0	-150.0	124.0	51332.4		51332.8
190.0	-150.0	124.5	51334.2		51333.0
200.0	-150.0	125.0	51334.5		51334.0
210.0	-150.0	125.5	51334.0		51334.4
220.0	-150.0	126.0	51332.3		51333.3
230.0	-150.0	126.5	51331.4		51331.5
240.0	-150.0	127.0	51332.0		51331.8
250.0	-150.0	127.5	51331.7		51333.5
-250.0	-125.0	128.0	51332.7		51334.6
-240.0	-125.0	128.5	51333.6		51335.1
-230.0	-125.0	129.0	51329.6		51330.7
-220.0	-125.0	129.5	51331.0		51332.7
-210.0	-125.0	130.0	51331.6		51333.0
-200.0	-125.0	130.5	51332.1		51330.1
-190.0	-125.0	131.0	51330.9		51333.5
-180.0	-125.0	131.5	51329.6		51331.9
-170.0	-125.0	132.0	51330.7		51332.1
-160.0	-125.0	132.5	51329.8		51329.2
-150.0	-125.0	133.0	51329.4		51328.0
-140.0	-125.0	133.5	51330.7		51331.4
-130.0	-125.0	134.0	51333.6		51330.5
-120.0	-125.0	134.5	51336.6		51330.5
-110.0	-125.0	135.0	51349.4		51330.1
-100.0	-125.0	135.5	51330.0		51329.8
-90.0	-125.0	136.0	51330.3		51333.2
-80.0	-125.0	136.5	51327.7		51330.3
-70.0	-125.0	137.0	51328.6		51330.7
-60.0	-125.0	137.5	51327.8		51330.0
-50.0	-125.0	138.0	51329.2		51330.7
-40.0	-125.0	138.5	51328.5		51330.4
-30.0	-125.0	139.0	51328.9		51332.4
-20.0	-125.0	139.5	51328.9		51329.0
-10.0	-125.0	140.0	51326.0		51327.3
0.0	-125.0	140.5	51326.4		51326.7
10.0	-125.0	141.0	51328.1		51329.3
20.0	-125.0	141.5	51330.2		51331.6
30.0	-125.0	142.0	51328.0		51328.6
40.0	-125.0	142.5	51326.1		51326.6
50.0	-125.0	143.0	51327.7		51327.5
60.0	-125.0	143.5	51327.6		51327.6
70.0	-125.0	144.0	51328.6		51327.6
80.0	-125.0	144.5	51325.2		51328.0
90.0	-125.0	145.0	51331.3		51329.8
100.0	-125.0	145.5	51328.9		51327.9
110.0	-125.0	146.0	51328.1		51326.5
120.0	-125.0	146.5	51330.3		51330.0
130.0	-125.0	147.0	51325.5		51326.5
140.0	-125.0	147.5	51327.5		51327.0
150.0	-125.0	148.0	51326.0		51326.2
160.0	-125.0	148.5	51324.6		51325.1
170.0	-125.0	149.0	51325.4		51324.4
180.0	-125.0	149.5	51324.3		51325.1
190.0	-125.0	150.0	51324.7		51324.7
200.0	-125.0	150.5	51326.8		51327.3
210.0	-125.0	151.0	51324.7		51324.5
220.0	-125.0	151.5	51323.6		51324.9
230.0	-125.0	152.0	51323.0		51324.1
240.0	-125.0	152.5	51325.8		51326.2
250.0	-125.0	153.0	51324.7		51325.8
-250.0	-100.0	153.5	51325.7		51327.6
-240.0	-100.0	154.0	51324.4		51324.4
-230.0	-100.0	154.5	51324.7		51326.8
-220.0	-100.0	155.0	51324.3		51324.7
-210.0	-100.0	155.5	51323.0		51323.2
-200.0	-100.0	156.0	51323.9		51324.6
-190.0	-100.0	156.5	51323.4		51324.2
-180.0	-100.0	157.0	51325.0		51325.6
-170.0	-100.0	157.5	51326.3		51325.4
-160.0	-100.0	158.0	51327.1		51326.4
-150.0	-100.0	158.5	51324.8		51322.9
-140.0	-100.0	159.0	51328.1		51327.2
-130.0	-100.0	159.5	51331.0		51328.3
-120.0	-100.0	160.0	51347.3		51326.8
-110.0	-100.0	160.5	51337.7		51326.6
-100.0	-100.0	161.0	51322.7		51324.9
-90.0	-100.0	161.5	51323.7		51322.6
-80.0	-100.0	162.0	51326.3		51328.4
-70.0	-100.0	162.5	51324.6		51326.4
-60.0	-100.0	163.0	51325.1		51327.2
-50.0	-100.0	163.5	51326.2		51327.3
-40.0	-100.0	164.0	51327.9		51328.3
-30.0	-100.0	164.5	51328.1		51329.5
-20.0	-100.0	165.0	51325.8		51326.3
-10.0	-100.0	165.5	51325.1		51324.9
0.0	-100.0	166.0	51329.5		51328.8
10.0	-100.0	166.5	51328.7		51330.8
20.0	-100.0	167.0	51325.8		51327.2
30.0	-100.0	167.5	51327.8		51329.3
40.0	-100.0	168.0	51326.8		51328.9
50.0	-100.0	168.5	51327.3		51326.9
60.0	-100.0	169.0	51325.0		51325.0
70.0	-100.0	169.5	51325.4		51325.1
80.0	-100.0	170.0	51325.5		51325.8
90.0	-100.0	170.5	51326.5		51327.1
100.0	-100.0	171.0	51326.5		51324.6
110.0	-100.0	171.5	51325.4		51324.0
120.0	-100.0	172.0	51325.0		51324.7
130.0	-100.0	172.5	51326.9		51326.9
140.0	-100.0	173.0	51325.1		51325.1
150.0	-100.0	173.5	51325.7		51326.5
160.0	-100.0	174.0	51325.6		51327.2
170.0	-100.0	174.5	51324.5		51326.7
180.0	-100.0	175.0	51327.7		51328.3
190.0	-100.0	175.5	51326.7		51324.6
200.0	-100.0	176.0	51322.5		51324.9
210.0	-100.0	176.5	51325.0		51325.9
220.0	-100.0	177.0	51323.4		51322.9
230.0	-100.0	177.5	51322.0		51321.3
240.0	-100.0	178.0	51326.8		51327.5
250.0	-100.0	178.5	51327.1		51323.6
-250.0	-75.0	179.0	51325.1		51324.2
-240.0	-75.0	179.5	51323.7		51324.4
-230.0	-75.0	180.0	51322.5		51325.1
-220.0	-75.0	180.5	51324.3		51324.2
-210.0	-75.0	181.0	51321.6		51325.0
-200.0	-75.0	181.5	51322.4		51323.7
-190.0	-75.0	182.0	51322.6		51321.9
-180.0	-75.0	182.5	51323.9		51323.9
-170.0	-75.0	183.0	51321.7		51321.3
-160.0	-75.0	183.5	51322.5		51322.3
-150.0	-75.0	184.0	51322.7		51323.2
-140.0	-75.0	184.5	51324.1		51320.9
-130.0	-75.0	185.0	51337.1		51320.3
-120.0	-75.0	185.5	51338.8		51321.2
-110.0	-75.0	186.0	51321.6		51322.4
-100.0	-75.0	186.5	51321.3		51322.4
-90.0	-75.0	187.0	51320.5		51322.2
-80.0	-75.0	187.5	51322.3		51323.5
-70.0	-75.0	188.0	51321.5		51321.3
-60.0	-75.0	188.5	51321.0		51321.7
-50.0	-75.0	189.0	51322.2		51322.9
-40.0	-75.0	189.5	51322.3		51323.3
-30.0	-75.0	190.0	51322.0		51323.4
-20.0	-75.0	190.5	51322.4		51324.5
-10.0	-75.0	191.0	51320.5		51321.5
0.0	-75.0	191.5	51320.1		51321.0
10.0	-75.0	192.0	51324.7		51324.2
20.0	-75.0	192.5	51322.5		51325.7
30.0	-75.0	193.0	51322.0		51324.0
40.0	-75.0	193.5	51322.3		51322.1
50.0	-75.0	194.0	51323.6		51324.4
60.0	-75.0	194.5	51323.4		51323.3
70.0	-75.0	195.0	51323.5		51323.8
80.0	-75.0	195.5	51325.0		51323.9
90.0	-75.0	196.0	51324.6		51323.5
100.0	-75.0	196.5	51323.8		51324.1
110.0	-75.0	197.0	51326.3		51327.6
120.0	-75.0	197.5	51324.1		51324.5
130.0	-75.0	198.0	51324.7		51323.0
140.0	-75.0	198.5	51325.8		51326.6
150.0	-75.0	199.0	51326.1		51324.7
160.0	-75.0	199.5	51324.6		51324.4
170.0	-75.0	200.0	51326.1		51322.6
180.0	-75.0	200.5	51323.9		51324.8
190.0	-75.0	201.0	51324.9		51322.5
200.0	-75.0	201.5	51326.8		51323.9
210.0	-75.0	202.0	51328.1		51329.3
220.0	-75.0	202.5	51324.8		51325.9
230.0	-75.0	203.0	51323.3		51323.6
240.0	-75.0	203.5	51321.9		51324.6
250.0	-75.0	204.0	51326.1		51324.7
-250.0	-50.0	204.5	51322.5		51323.9
-240.0	-50.0	205.0	51321.8		51323.5
-230.0	-50.0	205.5	51323.3		51322.0
-220.0	-50.0	206.0	51323.1		51323.5
-210.0	-50.0	206.5	51323.4		51323.9
-200.0	-50.0	207.0	51323.6		51325.4
